text,label
"Premise: The new rights are nice enough

Hypothesis: Everyone really likes the newest benefits ",1
"Premise: This site includes a list of all award winners and a searchable database of Government Executive articles.

Hypothesis: The Government Executive articles housed on the website are not able to be searched.",2
"Premise: uh i don't know i i have mixed emotions about him uh sometimes i like him but at the same times i love to see somebody beat him

Hypothesis: I like him for the most part, but would still enjoy seeing someone beat him.",0
"Premise: yeah i i think my favorite restaurant is always been the one closest  you know the closest as long as it's it meets the minimum criteria you know of good food

Hypothesis: My favorite restaurants are always at least a hundred miles away from my house. ",2
"Premise: i don't know um do you do a lot of camping

Hypothesis: I know exactly.",2
"Premise: well that would be a help i wish they would do that here we have got so little landfill space left that we're going to run out before the end of this decade and it's really going to be

Hypothesis: We have plenty of space in the landfill.",2
"Premise: yeah i know and i did that all through college and it worked too

Hypothesis: I did that all through college but it never worked ",2
"Premise: Calcutta seems to be the only other production center having any pretensions to artistic creativity at all, but ironically you're actually more likely to see the works of Satyajit Ray or Mrinal Sen shown in Europe or North America than in India itself.

Hypothesis: Most of Mrinal Sen's work can be found in European collections.",1
"Premise: If that investor were willing to pay extra for the security of limited downside, she could buy put options with a strike price of $98, which would lock in her profit on the shares at $18, less whatever the options cost.

Hypothesis: THe strike price could be $8.",2
"Premise: 3)  Dare you rise to the occasion, like Raskolnikov, and reject the petty rules that govern lesser men?

Hypothesis: Would you rise up and defeaat all evil lords in the town?",1
"Premise: The most important directions are simply up and up leads eventually to the cathedral and fortress commanding the hilltop, and down inevitably leads to one of three gates through the wall to the new town.

Hypothesis: Go downwards to one of the gates, all of which will lead you into the cathedral.",2
"Premise: The bhakti movement of the Tamils brought a new warmth to the hitherto rigid Brahmanic ritual of Hinduism.

Hypothesis: The Tamils' bhakti movement froze the previously warm ritual of Hinduism.",2
"Premise: see now in a situation like that the boys are only sixteen years old and they were sexually involved with her and i think like at that particular point she was twenty three you know so she wasn't really that much older than them and being a boy at that age i think that they're very um you know let's face it that's at a point in your life when you you're just starting to realize all the things of life

Hypothesis: Everyone involved was the same age.",2
"Premise: You and your friends are not welcome here, said Severn.

Hypothesis: Severn said the people were not welcome there.",0
"Premise: um-hum um-hum yeah well uh i can see you know it's it's it's it's kind of funny because we it seems like we loan money you know we money with strings attached and if the government changes and the country that we loan the money to um i can see why the might have a different attitude towards paying it back it's a lot us that  you know we don't really loan money to to countries we loan money to governments and it's the

Hypothesis: We don't loan a lot of money.",1
"Premise: i'm not sure what the overnight low was

Hypothesis: I don't know how cold it got last night.",0
"Premise: so i have to find a way to supplement that

Hypothesis: I need a way to add something extra.",0
"Premise: the hologram makes up all these things and uh i mean sometimes  sometimes it's funny sometimes it's not but uh you know it's something to pass the time until we do and then and then we watch football

Hypothesis: Sometimes it is amusing to see what the hologram creates.",0
"Premise: 5 The share of gross national saving used to replace depreciated capital has increased over the past 40 years.

Hypothesis: Gross national saving was highest this year.",1
